Year,pyMay,pyJun,pyJul,pyAug,pySep,pyOct,pyNov,pyDec,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec,MA,PM,M,PoM,DS,RWI
1964,0.66,0.82,0.86,0.84,0.72,0.50,0.25,0.22,0.23,0.31,0.39,0.51,0.64,0.80,0.88,0.82,0.76,0.56,0.30,0.22,0.534666675,0.4525,0.72900002,0.6595,0.2732,0.986888054
1965,0.64,0.80,0.88,0.82,0.76,0.56,0.30,0.22,0.21,0.30,0.34,0.51,0.66,0.81,0.85,0.86,0.76,0.49,0.23,0.26,0.523833333,0.427,0.7392,0.624,0.283,1.155671488
1966,0.66,0.81,0.85,0.86,0.76,0.49,0.23,0.26,0.27,0.27,0.38,0.51,0.64,0.83,0.83,0.86,0.77,0.49,0.31,0.28,0.536749992,0.445,0.73379998,0.6285,0.3302,0.811055653
1967,0.64,0.83,0.83,0.86,0.77,0.49,0.31,0.28,0.31,0.32,0.43,0.51,0.65,0.78,0.84,0.82,0.80,0.48,0.21,0.19,0.528250017,0.4715,0.71980002,0.64150005,0.2632,1.252073024
1968,0.65,0.78,0.84,0.82,0.80,0.48,0.21,0.19,0.23,0.32,0.36,0.51,0.64,0.82,0.85,0.83,0.74,0.50,0.29,0.19,0.522833333,0.4375,0.728,0.6205,0.2582,1.019948927
1969,0.64,0.82,0.85,0.83,0.74,0.50,0.29,0.19,0.20,0.22,0.39,0.51,0.63,0.80,0.84,0.86,0.74,0.49,0.29,0.19,0.513750017,0.452,0.72760004,0.616,0.28780002,1.245477325
1970,0.63,0.80,0.84,0.86,0.74,0.49,0.29,0.19,0.22,0.32,0.42,0.51,0.67,0.81,0.86,0.84,0.80,0.56,0.34,0.21,0.547166667,0.46750005,0.73799998,0.6795,0.2704,0.817002325
1971,0.67,0.81,0.86,0.84,0.80,0.56,0.34,0.21,0.21,0.29,0.30,0.65,0.67,0.82,0.88,0.86,0.75,0.56,0.27,0.19,0.536666675,0.4755,0.77520002,0.6555,0.2532,0.62205119
1972,0.67,0.82,0.88,0.86,0.75,0.56,0.27,0.19,0.17,0.29,0.35,0.46,0.66,0.78,0.84,0.84,0.72,0.46,0.26,0.13,0.496583333,0.4065,0.7164,0.592,0.22540002,1.439638229
1973,0.66,0.78,0.84,0.84,0.72,0.46,0.26,0.13,0.14,0.27,0.33,0.37,0.69,0.80,0.82,0.84,0.80,0.53,0.35,0.26,0.517666675,0.35200005,0.7062,0.6635,0.2728,0.76027542
1974,0.69,0.80,0.82,0.84,0.80,0.53,0.35,0.26,0.19,0.19,0.38,0.52,0.65,0.80,0.90,0.86,0.78,0.51,0.35,0.20,0.525416683,0.4495,0.74500004,0.6435,0.275,0.738513374
1975,0.65,0.80,0.90,0.86,0.78,0.51,0.35,0.20,0.19,0.28,0.36,0.42,0.65,0.79,0.89,0.84,0.78,0.55,0.33,0.20,0.522583317,0.391,0.71659996,0.664,0.2812,1.005896794
1976,0.65,0.79,0.89,0.84,0.78,0.55,0.33,0.20,0.17,0.30,0.41,0.43,0.64,0.81,0.84,0.85,0.72,0.48,0.32,0.19,0.512083333,0.4185,0.7122,0.5985,0.2618,0.813635167
1977,0.64,0.81,0.84,0.85,0.72,0.48,0.32,0.19,0.16,0.26,0.38,0.67,0.69,0.82,0.87,0.86,0.75,0.50,0.37,0.24,0.5465,0.5235,0.7806,0.624,0.277,1.284425566
1978,0.69,0.82,0.87,0.86,0.75,0.50,0.37,0.24,0.19,0.26,0.33,0.40,0.67,0.81,0.84,0.83,0.79,0.51,0.32,0.16,0.508416667,0.3665,0.7096,0.648,0.252,0.934178211
1979,0.67,0.81,0.84,0.83,0.79,0.51,0.32,0.16,0.14,0.27,0.37,0.34,0.60,0.80,0.84,0.84,0.74,0.49,0.31,0.28,0.502416667,0.354,0.68439998,0.61650005,0.3062,0.902300153
1980,0.60,0.80,0.84,0.84,0.74,0.49,0.31,0.28,0.25,0.28,0.40,0.33,0.64,0.79,0.84,0.82,0.75,0.51,0.21,0.22,0.504083333,0.3645,0.68559998,0.62800005,0.28,1.074516278
1981,0.64,0.79,0.84,0.82,0.75,0.51,0.21,0.22,0.27,0.30,0.41,0.50,0.66,0.79,0.87,0.82,0.76,0.45,0.23,0.26,0.526749992,0.4545,0.72959998,0.605,0.2704,0.756649852
1982,0.66,0.79,0.87,0.82,0.76,0.45,0.23,0.26,0.13,0.36,0.37,0.56,0.61,0.82,0.84,0.86,0.77,0.46,0.28,0.20,0.52225,0.4635,0.7374,0.618,0.28480002,0.983513416
1983,0.61,0.82,0.84,0.86,0.77,0.46,0.28,0.20,0.22,0.31,0.42,0.44,0.66,0.79,0.84,0.85,0.79,0.53,0.29,0.25,0.530166683,0.43000005,0.71500002,0.657,0.2672,1.027879454
1984,0.66,0.79,0.84,0.85,0.79,0.53,0.29,0.25,0.22,0.26,0.33,0.42,0.71,0.80,0.85,0.83,0.75,0.51,0.23,0.21,0.507916667,0.3775,0.7208,0.626,0.2662,0.721018258
1985,0.71,0.80,0.85,0.83,0.75,0.51,0.23,0.21,0.22,0.26,0.42,0.47,0.65,0.80,0.86,0.83,0.76,0.46,0.23,0.21,0.513083333,0.4425,0.7216,0.6085,0.2474,1.153777259
1986,0.65,0.80,0.86,0.83,0.76,0.46,0.23,0.21,0.21,0.25,0.34,0.54,0.59,0.78,0.84,0.80,0.79,0.50,0.29,0.21,0.512333325,0.439,0.70979998,0.645,0.257,0.774591795
1987,0.59,0.78,0.84,0.80,0.79,0.50,0.29,0.21,0.14,0.23,0.41,0.45,0.59,0.78,0.88,0.86,0.78,0.47,0.31,0.18,0.505833325,0.428,0.71239998,0.62,0.2552,1.145166582
1988,0.59,0.78,0.88,0.86,0.78,0.47,0.31,0.18,0.15,0.24,0.39,0.42,0.70,0.79,0.86,0.87,0.73,0.49,0.29,0.23,0.513499992,0.406,0.72679998,0.6105,0.2606,1.228948753
1989,0.70,0.79,0.86,0.87,0.73,0.49,0.29,0.23,0.17,0.27,0.35,0.33,0.65,0.78,0.85,0.82,0.78,0.55,0.25,0.17,0.496333333,0.3355,0.6858,0.6615,0.29240002,0.941705867
1990,0.65,0.78,0.85,0.82,0.78,0.55,0.25,0.17,0.21,0.37,0.47,0.51,0.68,0.82,0.88,0.84,0.79,0.57,0.28,0.21,0.550833342,0.488,0.7444,0.6755,0.269,1.080967013
1991,0.68,0.82,0.88,0.84,0.79,0.57,0.28,0.21,0.20,0.27,0.38,0.45,0.71,0.83,0.85,0.88,0.80,0.54,0.27,0.25,0.535166683,0.4135,0.74360002,0.66950005,0.293,1.000663312
1992,0.71,0.83,0.85,0.88,0.80,0.54,0.27,0.25,0.24,0.35,0.36,0.36,0.65,0.80,0.86,0.83,0.75,0.51,0.26,0.19,0.512833342,0.3595,0.70000002,0.629,0.2776,0.974675622
1993,0.65,0.80,0.86,0.83,0.75,0.51,0.26,0.19,0.24,0.35,0.35,0.47,0.67,0.80,0.82,0.86,0.77,0.49,0.26,0.19,0.523333325,0.408,0.72519998,0.6305,0.2618,0.774450107
1994,0.67,0.80,0.82,0.86,0.77,0.49,0.26,0.19,0.16,0.31,0.39,0.45,0.64,0.81,0.82,0.84,0.72,0.47,0.36,0.19,0.511750008,0.4195,0.70960002,0.5935,0.2902,1.261611234
1995,0.64,0.81,0.82,0.84,0.72,0.47,0.36,0.19,0.22,0.33,0.35,0.46,0.65,0.82,0.86,0.83,0.80,0.47,0.33,0.25,0.530416675,0.4035,0.72380002,0.634,0.3018,0.650672269
1996,0.65,0.82,0.86,0.83,0.80,0.47,0.33,0.25,0.23,0.27,0.44,0.64,0.68,0.80,0.86,0.86,0.74,0.48,0.22,0.22,0.536166667,0.539,0.7672,0.612,0.2924,0.913044013
1997,0.68,0.80,0.86,0.86,0.74,0.48,0.22,0.22,0.25,0.36,0.42,0.53,0.61,0.78,0.84,0.84,0.77,0.44,0.31,0.31,0.537833333,0.472,0.7198,0.6065,0.3518,1.352362494
