parameter,r,p
May_PY,0.044384409,0.74996702
June_PY,0.313902358,0.0208058
July_PY,0.222666041,0.105585551
Aug_PY,0.398589961,0.003097666
Sep_PY,0.130009254,0.34875886
Oct_PY,0.180785299,0.190798853
Nov_PY,-0.03062326,0.826011306
Dec_PY,0.065648452,0.637185918
Jan,-0.216062353,0.116607214
Feb,0.016277503,0.906999872
March,-0.113657666,0.41317248
April,-0.167551729,0.225886924
May,-0.181068435,0.190093361
June,-0.216062353,0.116607214
July,-0.292048094,0.041328437
Aug,-0.143793968,0.299575664
Sep,-0.15820229,0.253223292
Oct,0.059832765,0.667358116
Nov,-0.079649677,0.566970682
PM,-0.119439091,0.38965524
M,-0.423502471,0.008736996
PoM,-0.090670799,0.514371324
DS,0.007829601,0.955190334
