parameter,r,p
May_PY,-0.098811904,0.477165734
June_PY,0.071234854,0.608742228
July_PY,0.185396084,0.179541427
Aug_PY,0.192273862,0.163652076
Sep_PY,0.164039086,0.235906859
Oct_PY,0.148286685,0.284568609
Nov_PY,-0.190885214,0.166774239
Dec_PY,-0.054164,0.697279853
Jan,-0.007290848,0.958270844
Feb,-0.014698139,0.915989238
March,-0.080848439,0.561130325
April,-0.105419633,0.448053504
May,-0.127576358,0.357928844
June,-0.007290848,0.958270844
July,-0.064024415,0.64555562
Aug,-0.051703583,0.71041373
Sep,0.046733372,0.737197736
Oct,0.165865349,0.230659943
Nov,0.249513133,0.048829996
PM,-0.108626028,0.434288066
M,-0.111195888,0.423428794
PoM,0.140963724,0.309287885
DS,0.186391312,0.177175786
