parameter,r,p
May_PY,-0.139267216,0.31520533
June_PY,0.087183639,0.5307439
July_PY,0.082157056,0.554787209
Aug_PY,-0.12873769,0.353533371
Sep_PY,-0.00580203,0.966786699
Oct_PY,0.060072736,0.666102328
Nov_PY,-0.015474383,0.911569669
Dec_PY,-0.089538627,0.519658895
Jan,-0.270787542,0.042910262
Feb,0.059809266,0.66748114
March,0.323859535,0.025498736
April,-0.161824392,0.24237898
May,-0.121694497,0.71046239
June,-0.340787542,0.032910262
July,0.025943771,0.965975781
Aug,0.127967502,0.356444707
Sep,-0.313264429,0.040435695
Oct,-0.412475555,0.011210289
Nov,-0.221038902,0.145623644
PM,0.169800008,0.219630624
M,-0.112248825,0.419024436
PoM,-0.362199617,0.021545691
DS,-0.21575968,0.156003519
