parameter,r,p
May_PY,0.080082017,0.553741121
June_PY,0.04705991,0.728128729
July_PY,0.066572262,0.622704602
Aug_PY,0.061377333,0.650152358
Sep_PY,0.000465409,0.997258546
Oct_PY,0.159675825,0.235445175
Nov_PY,0.072731579,0.590812508
Dec_PY,-0.020092266,0.882068535
Jan,-0.01035217,0.939078882
Feb,0.147232427,0.274427539
March,0.245407479,0.047937933
April,0.071122865,0.599071537
May,-0.10238946,0.448515315
June,-0.15826226,0.239670742
July,0.058622277,0.664901468
Aug,-0.001989796,0.988279643
Sep,-0.013749837,0.919142529
Oct,-0.110295991,0.414063177
Nov,-0.04598475,0.734108492
PM,0.162610352,0.226837421
M,-0.082246725,0.543038822
PoM,-0.077795908,0.565151523
DS,-0.03291296,0.807968157
