parameter,r,p
May_PY,-0.00097523,0.994361893
June_PY,0.023610381,0.864144173
July_PY,0.001684492,0.990261591
Aug_PY,-0.010983941,0.936563012
Sep_PY,0.00444229,0.974321857
Oct_PY,0.037141714,0.787763145
Nov_PY,0.022408898,0.870997176
Dec_PY,-0.013489191,0.922134666
Jan,-0.131886671,0.337139136
Feb,0.086630619,0.529416416
March,0.1275857,0.353268099
April,0.123225723,0.370093348
May,-0.035117728,0.799081102
June,-0.131886671,0.337139136
July,-0.196329328,0.150832256
Aug,-0.175218645,0.200708886
Sep,-0.275331192,0.044372054
Oct,-0.383407329,0.02433385
Nov,-0.271031764,0.041683983
PM,0.157727187,0.250108908
M,-0.093816933,0.495688622
PoM,-0.325838454,0.039799392
DS,-0.283071142,0.042295043
